Establecimiento;Pc1_Actitud;Pc1_Atencion;Pc1_Atencion_Esperas;Pc1_Cliente_Habitual;Pc1_Actitud_Servicio;Pd1_Asesoramiento_Oferta;Pd1_Informacion_Completa;Pd1_Aspectos_Positivos_Negativos;Pe1_Experiencia_Empleados;Pe1_Resolver_Consultas;Pe1_Conocimiento_Gama;Pe1_Dominio_Resolver_Consultas;Pe1_Interes_Problemas;Pe1_Tiempo_Espera_Atencion;Pe1_Duracion_Fila_Cajas;Pe1_Rapidez_Resolver_Consultas;Pe1_N_Empleados_Cajas;Pe1_Tiempo_Reclamacion;Pe1_Solucion_Quejas;Pe1_Sencillez_Tramites;Pf1_Competitividad_Oferta_Productos;Pf1_Amplitud_Oferta_Productos;Pf1_Beneficios_Compra_Habitual;Pg1_N_Empleados_Adecuado;Pg1_Cajas_Cerradas;Pg1_Decoracion_Establecimiento;Pg1_Iluminacion_Establecimiento;Pg1_Climatizacion_Establecimiento;Pg1_Sensacion_Orden_Limpieza;Pg1_Amplitud_Establecimiento;Pg1_Marcado_Areas;Pg1_Facilidad_Identificar_Cadena;Ph1_Relacion_Calidad_Precio;Ph1_Satisfaccion_Global;C1_Edad;C2_Sexo;C3_Estado_Civil;C4_Importe_Medio_Compra;C5_Ingresos_Mensuales_Totales;RC1_Edad;RC2_Sexo;RC4_Importe_Medio;RC6_Ing_mes
2;8;8;8;9;9;8;7;8;8;8;9;10;7;9;9;9;7;;;;9;9;8;8;8;7;8;8;6;6;8;7;7;9;6;2;2;3;1;65;1;38;600
2;8;9;10;10;10;9;9;9;9;10;9;9;10;8;9;9;7;;;;8;9;10;9;10;7;9;10;9;10;10;8;10;9;5;2;2;3;1;60;1;38;600
2;9;7;6;5;7;5;7;6;7;7;8;8;7;7;8;7;5;;;;7;6;6;8;8;5;6;6;8;7;9;9;8;8;3;1;3;;1;40;0;;600
2;6;5;3;5;5;5;6;7;4;4;5;5;5;5;5;5;5;;;;5;5;6;5;6;4;5;5;5;4;5;7;7;6;4;1;4;;1;50;0;;600
3;8;8;7;5;5;5;5;4;5;5;5;5;5;6;2;5;8;;;;10;8;1;6;5;5;8;6;10;10;10;9;10;10;2;2;1;4;1;30;1;53;600
2;8;5;8;6;8;8;8;5;6;6;7;7;6;6;6;7;4;;;;6;6;8;8;6;7;8;7;5;6;8;9;8;8;4;2;4;5;1;50;1;68;600
3;9;9;9;8;9;9;9;9;9;9;8;8;9;7;7;7;8;7;7;7;9;10;9;8;7;9;9;9;10;10;10;10;9;9;6;1;5;2;1;65;0;23;600
1;8;8;7;4;8;7;8;4;6;7;7;9;9;7;9;8;8;8;8;6;6;8;8;7;7;8;9;9;9;9;8;8;7;8;6;2;2;3;1;65;1;38;600
3;6;5;4;8;6;4;5;4;7;6;7;6;6;9;8;8;8;;;;7;8;6;8;7;8;8;8;8;8;7;9;8;8;5;2;2;2;1;60;1;23;600
3;5;5;7;6;6;7;6;4;6;6;5;5;6;8;7;6;8;;;;6;7;5;7;6;8;8;8;8;8;7;7;8;8;6;2;2;4;1;65;1;53;600
2;8;8;7;6;8;8;8;5;7;7;8;7;7;9;9;9;8;8;8;8;9;9;9;8;8;6;7;1;7;7;6;7;9;9;6;1;5;1;1;65;0;15;600
2;8;7;7;8;9;7;;;8;7;7;7;7;7;5;;7;;;;8;6;;8;6;7;8;8;7;8;;9;9;10;6;1;5;1;1;65;0;15;600
2;8;7;7;8;9;7;;;8;7;7;7;7;7;5;;7;;;;8;6;;8;6;7;8;8;7;8;;9;9;10;6;1;5;1;1;65;0;15;600
1;2;4;1;5;8;5;4;8;9;5;8;7;4;4;4;5;4;6;7;8;4;5;6;4;4;4;5;5;7;4;5;8;10;7;1;1;1;8;1;21;0;120;600
2;10;9;9;8;10;9;8;5;9;9;9;8;10;7;8;7;8;;;;10;9;7;9;8;7;7;7;6;9;5;7;9;9;6;2;5;2;1;65;1;23;600
